Date,Battery Degradation (%)
2024-07-11 18:50:11,
2024-07-11 18:51:04,-1.4705882352941124
2024-07-11 19:08:41,-8.955223880597018
2024-07-11 19:38:08,-18.032786885245898
2024-07-11 20:46:49,-2.0000000000000018
2024-07-11 20:52:31,-6.122448979591832
2024-07-11 20:53:03,-2.1739130434782594
2024-07-11 21:01:28,-2.2222222222222254
2024-07-11 19:02:57,86.36363636363636
2024-07-11 19:30:18,-19.512195121951216
2024-07-11 19:40:40,-9.090909090909093
2024-07-11 20:31:37,-13.33333333333333
2024-07-11 20:38:18,-7.692307692307687
2024-07-11 21:08:28,-10.416666666666663
2024-07-11 21:20:37,-13.953488372093027
2024-07-11 21:34:23,-16.216216216216218
2024-07-11 21:48:41,-6.451612903225811
2024-07-11 22:04:58,-3.4482758620689613
2024-07-11 22:44:54,-67.85714285714286
2024-07-11 22:56:00,-11.111111111111116
2024-07-11 23:34:21,500.0
2024-07-11 09:58:05,-27.083333333333336
2024-07-11 10:12:11,-14.28571428571429
2024-07-11 10:43:09,-36.66666666666667
2024-07-11 14:58:31,242.10526315789474
2024-07-11 18:56:27,-12.307692307692308
2024-07-11 19:01:06,-5.263157894736848
2024-07-11 19:13:51,-3.703703703703709
2024-07-11 19:14:38,-1.9230769230769273
2024-07-11 20:12:54,-64.70588235294117
2024-07-11 13:11:47,350.0
2024-07-11 13:41:50,-1.2345679012345734
